Date,Measurement
2026-01-06,11.32
2026-01-13,13.08
2026-01-20,10.75
2026-01-27,12.44
2026-02-03,13.91
2026-02-10,18.50
2026-02-17,17.20
2026-02-24,11.63
2026-03-03,12.87
2026-03-10,10.22
2026-03-17,13.55
2026-03-24,11.09
2026-03-31,4.87
2026-04-07,5.93
2026-04-14,3.41
2026-04-21,6.78
2026-04-28,4.12
2026-05-05,5.55
2026-05-12,3.88
2026-05-19,6.21
2026-05-26,4.44
2026-06-02,5.02
2026-06-09,3.67
2026-06-16,6.89
2026-06-23,4.33
2026-06-30,5.71
2026-07-07,3.95
2026-07-14,6.08
2026-07-21,4.62
2026-07-28,5.14
